Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Test Component: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Normal,New,2026-04-17,2026-04-19,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/mobile/src/core/SharedProvider.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: SharedProvider'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Low,New,2026-04-18,2026-04-19,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/mobile/src/core/SharedProvider.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Normal,New,2026-04-19,2026-04-20,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Normal,New,2026-04-19,2026-04-20,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: SharedProvider'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Low,New,2026-04-17,2026-04-18,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/sharedprovider.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Low,New,2026-04-18,2026-04-19,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Push Notifications,Feature,Psitrix Psynq,Epic: Mobile Core & Scaffolding,High,New,2026-04-20,2026-04-30,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,FCM/APNS Integration,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Push Notifications'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Configure Firebase for Android,Task,Psitrix Psynq,Feature: Push Notifications,High,New,2026-04-20,2026-04-22,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,File: packages/mobile/android/app/google-services.json,0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Configure Firebase for Android'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Configure APNS for iOS,Task,Psitrix Psynq,Feature: Push Notifications,High,New,2026-04-20,2026-04-22,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,File: packages/mobile/ios/AppDelegate.mm,0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Configure APNS for iOS'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Phase: Predictive Dialer & Algorithms,Phase,Psitrix Psynq,,High,New,2026-05-15,2026-06-29,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Advanced Dialing Logic,0,Developer,
Epic: Pacing Engine,Epic,Psitrix Psynq,Phase: Predictive Dialer & Algorithms,High,New,2026-05-15,2026-06-14,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Erlang-C based pacing,0,Developer,
Feature: Pacing Service,Feature,Psitrix Psynq,Epic: Pacing Engine,High,New,2026-05-15,2026-05-30,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Real-time pacing calculation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Pacing Service'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,High,New,2026-05-15,2026-05-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/entities/pacingengine.entity.ts`
**Class:** `PacingEngine`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: PacingEngine'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,Normal,New,2026-05-15,2026-05-16,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/dto/create-pacingengine.dto.ts`
**File:** `packages/backend/src/modules/dialer/pacing/dto/update-pacingengine.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: PacingEngine'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: PacingEngineService,Task,Psitrix Psynq,Feature: Pacing Service,High,New,2026-05-16,2026-05-19,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/pacingengine.service.ts`
**Class:** `PacingEngineService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: PacingEngineService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: PacingEngineController,Task,Psitrix Psynq,Feature: Pacing Service,High,New,2026-05-17,2026-05-19,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/pacingengine.controller.ts`
**Class:** `PacingEngineController`
**Endpoints:**
- `POST /api/v1/pacingengines`
- `GET /api/v1/pacingengines`
- `GET /api/v1/pacingengines/:id`
- `PATCH /api/v1/pacingengines/:id`
- `DELETE /api/v1/pacingengines/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: PacingEngineController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: PacingEngineService,Task,Psitrix Psynq,Feature: Pacing Service,Normal,New,2026-05-18,2026-05-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/pacingengine.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: PacingEngineService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,Normal,New,2026-05-19,2026-05-21,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/pacingengine.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: PacingEngine'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,Low,New,2026-05-16,2026-05-17,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/dialer/pacing/pacingengine.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: PacingEngine'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,High,New,2026-05-15,2026-05-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreatePacingEngineTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: PacingEngine'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: PacingEngine,Task,Psitrix Psynq,Feature: Pacing Service,Low,New,2026-05-17,2026-05-18,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/pacingengine.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: PacingEngine'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Phase: IVR & AI Integration,Phase,Psitrix Psynq,,High,New,2026-06-14,2026-08-13,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Voice AI & Visual IVR,0,Developer,
Epic: Speech-to-Text & Sentiment,Epic,Psitrix Psynq,Phase: IVR & AI Integration,High,New,2026-06-14,2026-07-14,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Real-time Transcription,0,Developer,
Feature: Whisper Integration,Feature,Psitrix Psynq,Epic: Speech-to-Text & Sentiment,High,New,2026-06-14,2026-06-29,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,OpenAI Whisper for transcription,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Whisper Integration'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
